2025/06/27 18:06:22 Server is Started In Port :8081...
2025/06/27 18:06:45 @@ f343ef804f114e15815a53475fdd8be5 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 22 @@ GetAPIRequestDetail (+)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 42 @@ GetHeaderDetails+
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 50 @@ GetHeaderDetails-
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 36 @@ GetAPIRequestDetail (-)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogRequest @@ ln 13 @@ LogRequest (+)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogRequest @@ ln 25 @@ LogRequest (-)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ GetUserDetails/GetUserInfo.go @@ HOTEL-REGISTRY_API/apps/GetUserDetails.GetUserDetailsAPI @@ ln 38 @@ GetUserDetailsAPI (+)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ GetUserDetails/GetUserInfo.go @@ HOTEL-REGISTRY_API/apps/GetUserDetails.GetAvailabilityInfo @@ ln 257 @@ GetAvailabilityInfo (+)
2025/06/27 18:06:45 @@ 890e8c97df0b423fbfeb532ee5c351d1 @@ (  ) @@ GetUserDetails/GetUserInfo.go @@ HOTEL-REGISTRY_API/apps/GetUserDetails.GetAvailabilityInfo @@ ln 279 @@ GetAvailabilityInfo (-)
