2025/06/27 18:10:32 @@ d8b899c3d9c74282bbbb73f0213bec90 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 22 @@ GetAPIRequestDetail (+)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 42 @@ GetHeaderDetails+
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 50 @@ GetHeaderDetails-
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 36 @@ GetAPIRequestDetail (-)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogRequest @@ ln 13 @@ LogRequest (+)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogRequest @@ ln 25 @@ LogRequest (-)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ GetUserDetails/GetUserInfo.go @@ HOTEL-REGISTRY_API/apps/GetUserDetails.GetUserDetailsAPI @@ ln 38 @@ GetUserDetailsAPI (+)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ GetUserDetails/GetUserInfo.go @@ HOTEL-REGISTRY_API/apps/GetUserDetails.GetUserDetailsAPI @@ ln 118 @@ GetUserDetailsAPI (-)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 73 @@ APIMiddleware (-)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogResponse @@ ln 32 @@ LogResponse (+)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 22 @@ GetAPIRequestDetail (+)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 42 @@ GetHeaderDetails+
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 50 @@ GetHeaderDetails-
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 36 @@ GetAPIRequestDetail (-)
2025/06/27 18:10:32 @@ 14cf871c6a1543019399624ed53b48e9 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogResponse @@ ln 42 @@ LogResponse (-)
2025/06/27 18:10:43 @@ 948fc58f753441cfa40ac2b6c6377a19 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:10:43 @@ 42855571be5441e58bc5a10f0a01b886 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:10:43 @@ 42855571be5441e58bc5a10f0a01b886 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 22 @@ GetAPIRequestDetail (+)
2025/06/27 18:10:43 @@ 42855571be5441e58bc5a10f0a01b886 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 42 @@ GetHeaderDetails+
